Store,MCC,Type,Timestamp,Processing Time (s)
Japan Home,5399,Miscellaneous General Merchandise,2024-10-31 15:46:03,3.96
Uob,6012,Financial Institutions – Merchandise and Services,2024-10-31 15:46:07,4.0
Jurong Polyclinic,8062,Hospitals,2024-10-31 15:46:11,3.97
Guzman Y Gomez,5814,Fast Food Restaurants,2024-10-31 15:46:14,3.54
Touch N Go,4784,Toll and Bridge Fees,2024-10-31 15:46:18,4.19
Google Payment Singapore Pte Ltd,5815,"Digital Goods — Media, books, movies, music",2024-10-31 15:46:22,4.15
Royal Caribbean,4411,Cruise and Steamship Lines,2024-10-31 15:46:26,3.89
Singpost,9402,Postal Services – Government Only,2024-10-31 15:46:30,4.02
One Motoring,9399,Government Services not Elsewhere Classified,2024-10-31 15:46:34,3.78
Singapore Zoo,9399,Government Services not Elsewhere Classified,2024-10-31 15:46:38,3.91
Korean Airlines,3082,Korean Airlines,2024-10-31 15:46:42,3.91
Mount Alvernia Hospital,8062,Hospitals,2024-10-31 15:46:46,4.04
Collin'S Grille,5812,Eating Places and Restaurants,2024-10-31 15:46:50,4.05
Birds Of Paradise,5812,Eating Places and Restaurants,2024-10-31 15:46:54,3.67
Allianz Travel Insurance,6300,"Insurance Sales, Underwriting, and Premiums",2024-10-31 15:46:58,3.93
World Of Hyatt Points Purchase,7399,"Business Services, Not Elsewhere Classified",2024-10-31 15:47:02,4.32
Food Junction,5814,Fast Food Restaurants,2024-10-31 15:47:06,4.26
Aesop,5977,Cosmetic Stores,2024-10-31 15:47:11,4.32
Raffles Hospital,8062,Hospitals,2024-10-31 15:47:14,3.62
Istudio,5732,Electronics Sale,2024-10-31 15:47:19,4.32
Whizcomms,4816,Computer Network Services,2024-10-31 15:47:23,4.28
Paradise Group,5812,Eating Places and Restaurants,2024-10-31 15:47:27,4.26
Skyscanner,4722,Travel Agencies and Tour Operations,2024-10-31 15:47:31,4.3
Heavenly Wang,5812,Eating Places and Restaurants,2024-10-31 15:47:36,4.44
Virgin Active,7298,Health and Beauty Shops,2024-10-31 15:47:40,3.9
Louis Vuitton,5631,Women’s Accessory and Specialty Shops,2024-10-31 15:47:44,4.3
Pet Lovers Centre,5995,"Pet Shops, Pet Foods, and Supplies Stores",2024-10-31 15:47:48,4.26
Fragrance Bak Kwa,5499,Miscellaneous Food Stores – Convenience Stores and Specialty Markets,2024-10-31 15:47:53,4.25
Japan Airlines,3006,Japan Airlines,2024-10-31 15:47:57,4.25
Swee Heng,5814,Fast Food Restaurants,2024-10-31 15:48:01,4.28
Sinopec,5541,Service Stations with Or Without Ancillary Services,2024-10-31 15:48:05,3.87
Ps Cafe,5812,Eating Places and Restaurants,2024-10-31 15:48:09,3.62
Metro,5311,Department Stores,2024-10-31 15:48:13,4.46
Marche,5813,"Drinking Places alcoholic Beverages, Bars, Taverns, Cocktail Lounges, Nightclubs and Discotheques",2024-10-31 15:48:17,4.27
Fortytwo,5712,"Furniture, Home Furnishings, and Equipment Stores, Except Appliances",2024-10-31 15:48:22,4.26
Gong Cha,5814,Fast Food Restaurants,2024-10-31 15:48:26,4.44
Smile Dental Group,8021,Dentists and Orthodontists,2024-10-31 15:48:30,3.91
Hl Assurance Travel Insurance,6300,"Insurance Sales, Underwriting, and Premiums",2024-10-31 15:48:34,3.74
Yakiniku Like,5812,Eating Places and Restaurants,2024-10-31 15:48:38,4.22
Cotton On,5691,Men’s and Women’s Clothing Stores,2024-10-31 15:48:42,4.23
2C2*Lalamove,4214,"Motor Freight Carriers, Moving and Storage Companies, Trucking – Local/long Distance, Delivery Services – Local",2024-10-31 15:48:46,4.28
Eagle Eye Centre,8011,Doctors and Physicians not Elsewhere Classified,2024-10-31 15:48:51,4.27
Helpling,5734,Computer Software Stores,2024-10-31 15:48:54,3.65
Twg Tea,5441,"Candy, Nut, and Confectionery Stores",2024-10-31 15:48:59,4.48
Under Armour,5941,Sporting Goods Stores,2024-10-31 15:49:04,5.11
Olive Young,5977,Cosmetic Stores,2024-10-31 15:49:08,4.38
Jumbo Seafood,5812,Eating Places and Restaurants,2024-10-31 15:49:13,4.34
Aston'S Specialties,5812,Eating Places and Restaurants,2024-10-31 15:49:17,4.3
Timezone,7994,Video Game Arcades/establishments,2024-10-31 15:49:21,4.25
Msig Travel Insurance,6300,"Insurance Sales, Underwriting, and Premiums",2024-10-31 15:49:25,4.25
Crystal Jade,5812,Eating Places and Restaurants,2024-10-31 15:49:30,4.3
The 1872 Clipper Tea Co. (Online),5499,Miscellaneous Food Stores – Convenience Stores and Specialty Markets,2024-10-31 17:45:07,4.93
Vistaprint,7333,"Commercial Photography, Art and Graphics",2024-10-31 17:45:12,4.65
Blinkist,7392,"Management, Consulting, and Public Relations Services",2024-10-31 17:45:17,4.63
Baby Central,5999,Miscellaneous and Specialty Retail Stores,2024-10-31 17:45:21,4.2
Banggood,5999,Miscellaneous and Specialty Retail Stores,2024-10-31 17:45:25,4.12
Scentses + Co,5977,Cosmetic Stores,2024-10-31 17:45:29,4.0
Namnam,5812,Eating Places and Restaurants,2024-10-31 17:45:33,4.38
Tiger Brewery Tour,7991,Tourist Attractions and Exhibits,2024-10-31 17:45:37,4.06
The Buffet,5812,Eating Places and Restaurants,2024-10-31 17:45:43,5.36
Fendi,5691,Men’s and Women’s Clothing Stores,2024-10-31 17:45:48,5.72
Adorama,5969,Direct Marketing – Not Elsewhere Classified,2024-10-31 17:45:53,4.6
Best World Lifestyle - Vs,5499,Miscellaneous Food Stores – Convenience Stores and Specialty Markets,2024-10-31 17:45:57,4.12
Singapore Cable Car,7513,Truck and Utility Trailer Rentals,2024-10-31 17:46:01,4.08
Hua Ting Restaurant,5814,Fast Food Restaurants,2024-10-31 17:46:05,4.18
Dtap @ Orchard,8011,Doctors and Physicians not Elsewhere Classified,2024-10-31 17:46:11,5.66
Haagen Daz,5812,Eating Places and Restaurants,2024-10-31 17:46:19,8.16
Singpet,5995,"Pet Shops, Pet Foods, and Supplies Stores",2024-10-31 17:46:26,6.67
Ministry Of Law,9399,Government Services not Elsewhere Classified,2024-10-31 17:46:31,5.42
Grt Jewellers,5999,Miscellaneous and Specialty Retail Stores,2024-10-31 17:46:36,4.72
Saks Fifth,5311,Department Stores,2024-10-31 17:46:41,5.39
Community Chest,9399,Government Services not Elsewhere Classified,2024-10-31 17:46:46,4.46
Drspa - Orchard Gateway,7298,Health and Beauty Shops,2024-10-31 17:46:50,4.56
Randy Indulgence Acai Bar,5814,Fast Food Restaurants,2024-10-31 17:46:58,7.03
The Whiskey Distillery,5499,Miscellaneous Food Stores – Convenience Stores and Specialty Markets,2024-10-31 17:47:03,5.8
Jimmy Choo,5631,Women’s Accessory and Specialty Shops,2024-10-31 17:47:09,5.64
The Boiler Room,5813,"Drinking Places alcoholic Beverages, Bars, Taverns, Cocktail Lounges, Nightclubs and Discotheques",2024-10-31 17:47:14,4.79
Men-Ichi Ramen,5812,Eating Places and Restaurants,2024-10-31 17:47:20,6.39
Yoga Inc.,5941,Sporting Goods Stores,2024-10-31 17:47:27,6.4
Pornhub Premium,5967,Direct Marketing – Inbound Telemarketing Merchant,2024-10-31 17:47:32,5.39
Pierre Cardin Lingerie,5621,Women’s Ready-to-wear Stores,2024-10-31 17:47:39,6.84
Coca Restaurants,5812,Eating Places and Restaurants,2024-10-31 17:47:44,5.43
Aeon,5311,Department Stores,2024-10-31 17:47:50,5.64
Babachews Bar Eatery,5812,Eating Places and Restaurants,2024-10-31 17:47:55,5.18
Foreo,5977,Cosmetic Stores,2024-10-31 17:48:02,6.52
Singapore Veterinary Association,742 ,Veterinary Services,2024-10-31 17:48:07,5.71
Taste Of India,5812,Eating Places and Restaurants,2024-10-31 17:48:13,6.05
Donergy Turkish,5814,Fast Food Restaurants,2024-10-31 17:48:20,6.6
Gaia Korean Restaurant,5812,Eating Places and Restaurants,2024-10-31 17:48:25,5.24
Tea Tree Cafe,5812,Eating Places and Restaurants,2024-10-31 17:48:33,7.45
Aldi,5411,"Grocery Stores, Supermarkets",2024-10-31 17:48:40,7.52
Maison 21G,5977,Cosmetic Stores,2024-10-31 17:48:49,8.56
Tocco Toscano,5948,Luggage and Leather Goods Shops,2024-10-31 17:48:56,7.58
Leica,5946,Camera and Photographic Supply Stores,2024-10-31 17:49:02,5.52
Jtb,4722,Travel Agencies and Tour Operations,2024-10-31 17:49:06,4.46
Deliverychinatown Pte Ltd,5812,Eating Places and Restaurants,2024-10-31 17:49:10,3.9
New Ubin Seafood Retail,5812,Eating Places and Restaurants,2024-10-31 17:49:14,4.24
Kin Kao Young,5812,Eating Places and Restaurants,2024-10-31 17:49:19,4.41
Singapore Sports Council,9399,Government Services not Elsewhere Classified,2024-10-31 17:49:23,4.47
New Ubin Seafood,5812,Eating Places and Restaurants,2024-10-31 17:49:28,4.46
Amari,5699,Miscellaneous Apparel and Accessory Shops,2024-10-31 17:49:32,4.55
Sushi Yujo,5812,Eating Places and Restaurants,2024-10-31 17:49:37,4.29
Racine Salon & Spa,7230,Barber and Beauty Shops,2024-10-31 17:49:41,3.93
Bookme,4722,Travel Agencies and Tour Operations,2024-10-31 17:49:44,3.77
Kwee Zeen,5812,Eating Places and Restaurants,2024-10-31 17:49:49,4.33
"Mulia Villa - Nusa Dua, Bali",7221,Photographic Studios,2024-10-31 17:49:53,4.27
Sol Mart,5411,"Grocery Stores, Supermarkets",2024-10-31 17:49:57,4.31
Daisy Limousine Service,4121,Taxicabs and Limousines,2024-10-31 17:50:02,4.4
Concept Watch,5944,"Watch, Clock, Jewelry, and Silverware Stores",2024-10-31 17:50:06,4.0
Sg Camera Store,5969,Direct Marketing – Not Elsewhere Classified,2024-10-31 17:50:09,3.77
Converse,5941,Sporting Goods Stores,2024-10-31 17:50:14,4.73
Thekchen Choling (S),8398,Charitable and Social Service Organizations,2024-10-31 17:50:18,4.27
Wix,5734,Computer Software Stores,2024-10-31 17:50:23,4.29
True Yoga,7997,"Membership Clubs sports, Recreation, Athletic, Country Clubs, and Private Golf Courses",2024-10-31 17:50:27,4.4
Bbq Tori Shokudo,5812,Eating Places and Restaurants,2024-10-31 17:50:31,4.38
Hush Candle,5719,Miscellaneous Home Furnishing Specialty Stores,2024-10-31 17:50:35,3.92
Oakley,5699,Miscellaneous Apparel and Accessory Shops,2024-10-31 17:50:40,4.13
Slr Revolution,5969,Direct Marketing – Not Elsewhere Classified,2024-10-31 17:50:44,4.25
Tamago En,5812,Eating Places and Restaurants,2024-10-31 17:50:48,4.28
Shangeri-La Restaurant,5814,Fast Food Restaurants,2024-10-31 17:50:52,4.22
Papi'S Tacos - Seah Street,5812,Eating Places and Restaurants,2024-10-31 17:50:57,4.4
En Dining,5812,Eating Places and Restaurants,2024-10-31 17:51:01,4.43
Nanyang Optical-Clm,8043,"Opticians, Opticians Goods and Eyeglasses",2024-10-31 17:51:05,3.83
Oto,5712,"Furniture, Home Furnishings, and Equipment Stores, Except Appliances",2024-10-31 17:51:09,4.49
August Bespoke,7399,"Business Services, Not Elsewhere Classified",2024-10-31 17:51:14,4.9
Sg Tuition,8299,Schools and Educational Services not Elsewhere Classified,2024-10-31 17:51:19,4.67
Arrow,7394,"Equipment Rental and Leasing Services, Tool Rental, Furniture Rental, and Appliance Rental",2024-10-31 17:51:24,4.67
Dragon Brand,5999,Miscellaneous and Specialty Retail Stores,2024-10-31 17:51:28,4.47
Joseph,742 ,Veterinary Services,2024-10-31 17:51:33,4.76
Yakiniku Like-Cm1,5812,Eating Places and Restaurants,2024-10-31 17:51:37,4.32
Kpo Cafe Bar,5813,"Drinking Places alcoholic Beverages, Bars, Taverns, Cocktail Lounges, Nightclubs and Discotheques",2024-10-31 17:51:42,4.26
Fragrant Garden,5814,Fast Food Restaurants,2024-10-31 17:51:45,3.9
Oscar'S,5812,Eating Places and Restaurants,2024-10-31 17:51:49,3.92
Hansang Korean Family Restaurant,5812,Eating Places and Restaurants,2024-10-31 17:51:54,4.47
Marcy,8999,Professional Services not Elsewhere Defined,2024-10-31 17:51:58,4.26
15 Stamford By Alvin Leung,5812,Eating Places and Restaurants,2024-10-31 17:52:02,4.28
Kydra,5611,Men’s and Boy’s Clothing and Accessories Stores,2024-10-31 17:52:07,4.54
Old Hen Coffee,5814,Fast Food Restaurants,2024-10-31 17:52:11,4.32
Bamboo,5977,Cosmetic Stores,2024-10-31 17:52:15,3.93
Aloft Hotels,3619,Aloft,2024-10-31 17:52:19,4.21
Browhaus Wheelock Ipp12,7230,Barber and Beauty Shops,2024-10-31 17:52:24,4.41
Apm Monaco,5944,"Watch, Clock, Jewelry, and Silverware Stores",2024-10-31 17:52:28,4.28
Lucia,5999,Miscellaneous and Specialty Retail Stores,2024-10-31 17:52:32,4.24
Spa Esprit,5977,Cosmetic Stores,2024-10-31 17:52:37,4.27
The Outnet,5621,Women’s Ready-to-wear Stores,2024-10-31 17:52:41,4.11
Omoomo,5814,Fast Food Restaurants,2024-10-31 17:52:45,3.86
Fangko + Coffee And Beer,5812,Eating Places and Restaurants,2024-10-31 17:52:50,5.18
Shop Viewsonic Sg,5732,Electronics Sale,2024-10-31 17:52:56,6.18
Sunglass Hut,8044,Optical Goods and Eyeglasses,2024-10-31 17:53:01,4.6
Salmon Samurai,5812,Eating Places and Restaurants,2024-10-31 17:53:06,4.64
Nordstrom,5311,Department Stores,2024-10-31 17:53:10,4.68
Ikki,5812,Eating Places and Restaurants,2024-10-31 17:53:15,4.97
A Poke Theory,5814,Fast Food Restaurants,2024-10-31 17:53:20,4.96
Thachang Sg,5814,Fast Food Restaurants,2024-10-31 17:53:25,5.17
Sp Yuhome.Sg,5712,"Furniture, Home Furnishings, and Equipment Stores, Except Appliances",2024-10-31 17:53:32,6.19
Millennium Hotels,7011,"Lodging – Hotels, Motels, Resorts, Central Reservation Services",2024-10-31 17:53:37,5.39
The Estate Co,5811,Caterers,2024-10-31 17:53:43,6.48
Bounce - Tomorrowvr,7999,Recreation Services not Elsewhere Classified,2024-10-31 17:53:50,6.76
Redhill - Valley Point,5814,Fast Food Restaurants,2024-10-31 17:53:56,5.84
Asia Excel,5722,Household Appliance Stores,2024-10-31 17:54:01,5.06
Folks Collective,5812,Eating Places and Restaurants,2024-10-31 17:54:07,5.4
Yeast Side,5814,Fast Food Restaurants,2024-10-31 17:54:14,7.09
Timbuk2,5699,Miscellaneous Apparel and Accessory Shops,2024-10-31 17:54:28,14.66
Agri-Food And Veterinary Authority Of Singapore,9399,Government Services not Elsewhere Classified,2024-10-31 17:54:45,17.19
Melissa,5947,"Card Shops, Gift, Novelty, and Souvenir Shops",2024-10-31 17:55:02,16.97
Chens Mapo Tofu,5812,Eating Places and Restaurants,2024-10-31 17:55:15,12.68
Novi Health,8011,Doctors and Physicians not Elsewhere Classified,2024-10-31 17:55:30,14.18
Urban Dental Spl 6M,8021,Dentists and Orthodontists,2024-10-31 17:55:38,8.1
Cherki,5812,Eating Places and Restaurants,2024-10-31 17:55:43,4.97
Mikimoto,5944,"Watch, Clock, Jewelry, and Silverware Stores",2024-10-31 17:55:49,5.9
Tay Junction,5940,Bicycle Shops – Sales and Service,2024-10-31 17:55:55,6.18
Hom Yoga,7941,"Commercial Sports, Athletic Fields, Professional Sports Clubs, and Sport Promoters",2024-10-31 17:55:59,4.64
Burp Bar &Amp; Kitchen,5812,Eating Places and Restaurants,2024-10-31 17:56:05,5.2
Soi Aroy@Sim Lim Square,5814,Fast Food Restaurants,2024-10-31 17:56:09,4.67
Putra Minang,5817,Digital Goods — Software Applications excluding games,2024-10-31 17:56:14,4.45
Fresh&Co,5812,Eating Places and Restaurants,2024-10-31 17:56:18,4.25
Rasel Catering,5811,Caterers,2024-10-31 17:56:25,6.95
Nozomi,5812,Eating Places and Restaurants,2024-10-31 17:56:30,4.64
The Polliwogs,7999,Recreation Services not Elsewhere Classified,2024-10-31 17:56:34,4.13
East Bistro Se,5814,Fast Food Restaurants,2024-10-31 17:56:38,4.67
Gifts Greetings,5947,"Card Shops, Gift, Novelty, and Souvenir Shops",2024-10-31 17:56:43,4.26
James,8999,Professional Services not Elsewhere Defined,2024-10-31 17:56:47,3.98
Montblanc,5944,"Watch, Clock, Jewelry, and Silverware Stores",2024-10-31 17:56:53,6.29
Simplygood,5734,Computer Software Stores,2024-10-31 17:57:06,12.74
The Hearing Solution,5975,"Hearing Aids – Sales, Service, and Supply Stores",2024-10-31 17:57:16,10.34
The Thread Theory,5691,Men’s and Women’s Clothing Stores,2024-10-31 17:57:24,7.57
Elements Wellness Pte Ltd,7230,Barber and Beauty Shops,2024-10-31 17:57:29,5.74
Chin Lee Restaurant,5812,Eating Places and Restaurants,2024-10-31 17:57:34,4.35
Amore,5999,Miscellaneous and Specialty Retail Stores,2024-10-31 17:57:39,5.02
Anytime Fitness @ Jurong,7298,Health and Beauty Shops,2024-10-31 17:57:43,4.36
Sp Wing Joo Loong,7399,"Business Services, Not Elsewhere Classified",2024-10-31 17:57:48,4.97
Mc² Experience,7311,Advertising Services,2024-10-31 17:57:57,8.77
Beautyfresh Pte Ltd,5977,Cosmetic Stores,2024-10-31 17:58:02,4.79
Hong Leong Assurance,6300,"Insurance Sales, Underwriting, and Premiums",2024-10-31 17:58:06,4.28
Group Therapy Cse,5814,Fast Food Restaurants,2024-10-31 17:58:11,4.82
6 Elements Hair Spa,7230,Barber and Beauty Shops,2024-10-31 17:58:16,4.94
8 Degrees,5714,"Drapery, Window Covering and Upholstery Stores",2024-10-31 17:58:21,5.67
Eatzi Gourmet Steakhouse & Bistro,5814,Fast Food Restaurants,2024-10-31 17:58:28,6.78
Mitsubishi Hc C,7399,"Business Services, Not Elsewhere Classified",2024-10-31 17:58:33,4.76
T.J. Maxx,5651,Family Clothing Stores,2024-10-31 17:58:38,5.42
Chezvous Hideaway,7230,Barber and Beauty Shops,2024-10-31 17:58:43,4.42
1Doc Bistro Heartbeat@Bedok,5814,Fast Food Restaurants,2024-10-31 17:58:48,4.84
M.A.C (Mac),5977,Cosmetic Stores,2024-10-31 17:58:54,6.31
Xpressflower,5992,Florists,2024-10-31 17:58:59,5.33
Vatos Urban Tacos,5814,Fast Food Restaurants,2024-10-31 17:59:05,5.59
Yi Dian Xin,5812,Eating Places and Restaurants,2024-10-31 17:59:11,6.07
Ambush - J8,5812,Eating Places and Restaurants,2024-10-31 17:59:17,5.61
Tuckshop,5813,"Drinking Places alcoholic Beverages, Bars, Taverns, Cocktail Lounges, Nightclubs and Discotheques",2024-10-31 17:59:21,4.86
Bornga,5812,Eating Places and Restaurants,2024-10-31 17:59:29,7.35
Discord,5734,Computer Software Stores,2024-10-31 17:59:34,5.32
Chez Suzette,5812,Eating Places and Restaurants,2024-10-31 17:59:41,6.73
Madame Tussauds New York,7991,Tourist Attractions and Exhibits,2024-10-31 17:59:46,4.67
Chomel,5631,Women’s Accessory and Specialty Shops,2024-10-31 17:59:50,4.67
W Hotels,3779,W Hotels,2024-10-31 17:59:56,6.29
House Of Seafood (Clarke Quay),5812,Eating Places and Restaurants,2024-10-31 18:00:02,5.04
Cars International,5999,Miscellaneous and Specialty Retail Stores,2024-10-31 18:00:07,5.76
Bicester Village,5531,Auto and Home Supply Outlets,2024-10-31 18:00:13,5.26
Wang Cafe,5812,Eating Places and Restaurants,2024-10-31 18:00:17,4.87
The Lunar Rabbit,5462,Bakeries,2024-10-31 18:00:23,5.6
Thirsty Horse,5812,Eating Places and Restaurants,2024-10-31 18:00:29,5.5
Oberstrasse Ca,5814,Fast Food Restaurants,2024-10-31 18:00:34,5.53
Seiko,5944,"Watch, Clock, Jewelry, and Silverware Stores",2024-10-31 18:00:39,4.68
Yacht,5621,Women’s Ready-to-wear Stores,2024-10-31 18:00:44,5.49
Omno,5734,Computer Software Stores,2024-10-31 18:00:49,4.79
Style Theory,5691,Men’s and Women’s Clothing Stores,2024-10-31 18:00:58,8.88
Optical 88,8044,Optical Goods and Eyeglasses,2024-10-31 18:01:06,7.9
Lovemere,5311,Department Stores,2024-10-31 18:01:13,7.33
Giorgio Armani,5651,Family Clothing Stores,2024-10-31 18:01:22,8.57
Parallel,7311,Advertising Services,2024-10-31 18:01:30,8.1
Rottnest Express,4111,"Local/suburban Commuter Passenger Transportation – Railroads, Ferries, Local Water Transportation",2024-10-31 18:01:36,5.75
Silverkris,5812,Eating Places and Restaurants,2024-10-31 18:01:42,5.85
Andersen'S Of Denmark,5812,Eating Places and Restaurants,2024-10-31 18:01:47,5.38
Lan Airlines,3052,Lanchile,2024-10-31 18:01:53,5.79
Jetblue Airways,3174,JetBlue Airways,2024-10-31 18:01:58,4.91
Locaba Low-Carb Bakery Singapore,5462,Bakeries,2024-10-31 18:02:04,6.68
Wellness For Life-Sq,8011,Doctors and Physicians not Elsewhere Classified,2024-10-31 18:02:10,5.25
Pay Later Instalment Pl,6012,Financial Institutions – Merchandise and Services,2024-10-31 18:02:18,8.07
Jones The Grocer,5411,"Grocery Stores, Supermarkets",2024-10-31 18:02:25,7.51
"1864, Sofitel Singapore City Centre",5813,"Drinking Places alcoholic Beverages, Bars, Taverns, Cocktail Lounges, Nightclubs and Discotheques",2024-10-31 18:02:30,5.08
Bikes N Bites,5940,Bicycle Shops – Sales and Service,2024-10-31 18:02:35,5.06
Synthesis,5814,Fast Food Restaurants,2024-10-31 18:02:40,4.39
Fassler Gourmet,5499,Miscellaneous Food Stores – Convenience Stores and Specialty Markets,2024-10-31 18:02:44,4.35
Anothersole Intl,5734,Computer Software Stores,2024-10-31 18:02:49,4.55
Virtual Room,7999,Recreation Services not Elsewhere Classified,2024-10-31 18:02:56,7.32
Cake Spade,5812,Eating Places and Restaurants,2024-10-31 18:03:04,8.0
Zenith,5944,"Watch, Clock, Jewelry, and Silverware Stores",2024-10-31 18:03:09,5.2
The Mango Tree,5814,Fast Food Restaurants,2024-10-31 18:03:16,6.94
Garibaldi Meucci Museum,7991,Tourist Attractions and Exhibits,2024-10-31 18:03:44,28.13
Www.Comodempsey.Sg,5812,Eating Places and Restaurants,2024-10-31 18:04:12,27.22
Party World Ktv,5813,"Drinking Places alcoholic Beverages, Bars, Taverns, Cocktail Lounges, Nightclubs and Discotheques",2024-10-31 18:04:27,15.09
Eat Offbeat,5812,Eating Places and Restaurants,2024-10-31 18:04:47,19.46
Jiji.Sg,5712,"Furniture, Home Furnishings, and Equipment Stores, Except Appliances",2024-10-31 18:05:10,22.73
Positive Psychology Ctr,8299,Schools and Educational Services not Elsewhere Classified,2024-10-31 18:05:22,11.56
Tong Le Private Dining,5812,Eating Places and Restaurants,2024-10-31 18:05:30,7.45
Beyond Pancakes,5812,Eating Places and Restaurants,2024-10-31 18:05:37,7.96
Anothersole - Vvc,5661,Shoe Stores,2024-10-31 18:05:44,6.95
Order,5815,"Digital Goods — Media, books, movies, music",2024-10-31 18:05:51,6.68
Calvin Klein Underwear,5699,Miscellaneous Apparel and Accessory Shops,2024-10-31 18:05:57,5.41
Coh Donation,8398,Charitable and Social Service Organizations,2024-10-31 18:06:03,6.94
Dickson Nasi Lemak,5734,Computer Software Stores,2024-10-31 18:06:12,8.93
Desigual,5651,Family Clothing Stores,2024-10-31 18:06:18,5.78
Victoria'S Secret,5621,Women’s Ready-to-wear Stores,2024-10-31 18:06:24,5.79
Megafurniture.Sg,5712,"Furniture, Home Furnishings, and Equipment Stores, Except Appliances",2024-10-31 18:06:29,5.46
Town Restaurant,5812,Eating Places and Restaurants,2024-10-31 18:06:35,5.68
Universal Traveller,5651,Family Clothing Stores,2024-10-31 18:06:41,6.06
Sift &Amp; Pick,8999,Professional Services not Elsewhere Defined,2024-10-31 18:06:47,5.38
Manna Korean Restaurant,5812,Eating Places and Restaurants,2024-10-31 18:06:52,5.18
Hostinger,5734,Computer Software Stores,2024-10-31 18:06:57,4.78
Knead Press,7297,Massage Parlors,2024-10-31 18:07:02,5.78
Tunglok Xihe Peking Duck,5812,Eating Places and Restaurants,2024-10-31 18:07:07,4.68
Chiropractic First - Bt - 6M,8041,Chiropractors,2024-10-31 18:07:12,4.61
Sincere Watch,5944,"Watch, Clock, Jewelry, and Silverware Stores",2024-10-31 18:07:16,4.62
The Dental Practice Be,8021,Dentists and Orthodontists,2024-10-31 18:07:21,4.9
"Mandarin Oriental, New York",7011,"Lodging – Hotels, Motels, Resorts, Central Reservation Services",2024-10-31 18:07:26,5.16
Ren Ci Nursing Home,8062,Hospitals,2024-10-31 18:07:31,4.84
A-One Claypot House @ Causeway Point,5814,Fast Food Restaurants,2024-10-31 18:07:36,5.25
Winestone,5812,Eating Places and Restaurants,2024-10-31 18:07:41,5.04
Coffee Club,5812,Eating Places and Restaurants,2024-10-31 18:07:46,4.67
